,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Passenger Count,Adjusted Passenger Count
0,0.4079718640093787,94.82288754621698,0.025520786364866082,0.04256470376048336,0.12868608530976644,0.22571918117052936,0.9486878888989089,2.4181621426639013,1.8762737848318154,0.10289476057354134,0.0047795112273424116,100.38078997204437,0.057083596356749935,28813.577893820715,28909.363794604003
1,0.3775311666786769,121.13770987965698,0.01606975571088852,0.06831447719247676,0.055775744036895586,0.26475462996324856,1.0604597535490379,2.836419975499027,2.0029545290768898,0.20038924529661933,0.014124090221229372,140.11152266339988,0.07206168480219068,32636.380916030535,32741.354198473284
2,0.3497050147492625,73.56135693215339,0.04631268436578171,0.09306784660766962,0.18525073746312684,0.23539823008849559,0.8650442477876106,2.3575221238938053,1.8262536873156343,0.10855457227138643,0.011504424778761062,81.07677581120944,0.07404129793510325,28723.198570293884,28806.749801429705
3,0.3341596430342092,47.859568666336145,0.05094199305899851,0.07523549826474962,0.17687159147248388,0.19186911254338126,0.8531234506693108,2.1779871095686665,1.791026276648488,0.09791769955379276,0.007312840852751612,73.58227565691622,0.06308874566187407,24258.40796812749,24339.60717131474
4,0.3047731489289931,45.310001686625064,0.06695901501096306,0.08939112835216731,0.3047731489289931,0.2477652217911958,0.7793894417271041,2.1921065947039975,1.6906729634002362,0.07623545285882949,0.00809580030359251,70.36124135604655,0.0828132906054984,26094.37066246057,26179.89116719243
5,0.37453597662112,136.32256535818655,0.02377379353921491,0.11657846931521997,0.12637232446094304,0.2176763288839744,1.1202906563462602,2.8055445857357237,1.987520732959482,0.1833978358739436,0.009556907037358819,126.78801279519786,0.0686359687228497,32657.033768227167,32767.212586339218
6,0.4145717158789652,128.24728037297743,0.025779321693024958,0.021574184111893227,0.15568150653624646,0.19224792028521803,0.9203766340616144,2.6554529664503153,1.860590547582046,0.09662674833165737,0.006490538440442454,116.67219215650427,0.055672364932809214,31886.650887573964,31982.435333896872
7,0.3215233816622422,70.11925668776802,0.043496017970185825,0.027159485399224016,0.18439861139473146,0.22187053297937512,0.8586889932611803,2.5606493771696957,1.8046763324484378,0.07147232999795794,0.005819889728405146,80.67964570144986,0.061568307126812334,29359.807661612133,29462.86592178771
8,0.39665846832329743,117.64617080824358,0.031040624204902043,0.018319056907811042,0.1552879314731575,0.21719955898566704,0.8696463404291409,2.4069205326096177,1.8267322534136206,0.07166482910694598,0.006106352302603681,108.69551607158003,0.052073615469425835,30340.417235494882,30423.592150170647
9,0.3123344127171033,76.58080659405357,0.043126287901089196,0.03871062702384457,0.15955254636443922,0.24874889608478068,0.7851045039740948,2.4040329702678833,1.690903738592876,0.04106564615837504,0.0066234913158669416,73.79496173093906,0.06726523403002649,27702.751385589865,27774.910530482975
10,0.3804659498207885,122.99462365591398,0.028046594982078853,0.1539426523297491,0.0778673835125448,0.20206093189964158,0.8953405017921147,2.2307347670250897,1.8171146953405017,0.06299283154121864,0.005555555555555556,87.90887903225806,0.056451612903225805,29645.857915057913,29740.87027027027
11,0.3917015607156452,136.67519984773506,0.019128283212790254,0.28911305671869053,0.07460982108869432,0.19718309859154928,0.9420441568328892,2.5243623905595736,1.8729539398553483,0.056909021697754095,0.00827940616673011,105.04965740388276,0.05205557670346403,28725.348496530456,28810.779491133384
